Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 07/28/24-19:04:38
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 07/28/24-19:04:38
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 07/28/24-19:04:38
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 07/28/24-19:11:45
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 07/28/24-19:11:45
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 07/28/24-19:11:45
gpt-4o, hate, 0.96, 0.30, 0.80, 0.43, 07/28/24-19:14:51
gpt-4o, not hate, 0.96, 1.00, 0.96, 0.98, 07/28/24-19:14:51
gpt-4o, AVERAGE, 0.96, 0.96, 0.96, 0.96, 07/28/24-19:14:51
gpt-4-turbo, hate, 0.96, 0.28, 0.50, 0.36, 07/28/24-19:19:16
gpt-4-turbo, not hate, 0.96, 0.99, 0.97, 0.98, 07/28/24-19:19:16
gpt-4-turbo, AVERAGE, 0.96, 0.97, 0.96, 0.96, 07/28/24-19:19:16
gpt-3.5-turbo-0125, hate, 0.74, 0.06, 0.80, 0.11, 07/28/24-19:22:05
gpt-3.5-turbo-0125, not hate, 0.74, 0.99, 0.74, 0.85, 07/28/24-19:22:05
gpt-3.5-turbo-0125, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/28/24-19:22:05
open-mistral-nemo-2407, hate, 0.75, 0.05, 0.70, 0.10, 07/28/24-19:30:12
open-mistral-nemo-2407, not hate, 0.75, 0.99, 0.75, 0.85, 07/28/24-19:30:12
open-mistral-nemo-2407, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/28/24-19:30:12
mistral-large-latest, hate, 0.73, 0.06, 0.80, 0.11, 07/28/24-19:38:30
mistral-large-latest, not hate, 0.73, 0.99, 0.73, 0.84, 07/28/24-19:38:30
mistral-large-latest, AVERAGE, 0.73, 0.73, 0.73, 0.73, 07/28/24-19:38:30
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 08/02/24-14:38:52
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 08/02/24-14:38:52
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 08/02/24-14:38:52
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 08/02/24-15:46:12
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 08/02/24-15:46:12
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 08/02/24-15:46:12
gpt-4o, hate, 0.95, 0.27, 0.80, 0.40, 08/02/24-15:49:59
gpt-4o, not hate, 0.95, 1.00, 0.96, 0.97, 08/02/24-15:49:59
gpt-4o, AVERAGE, 0.95, 0.95, 0.95, 0.95, 08/02/24-15:49:59
gpt-4-turbo, hate, 0.96, 0.29, 0.60, 0.39, 08/02/24-15:55:35
gpt-4-turbo, not hate, 0.96, 0.99, 0.97, 0.98, 08/02/24-15:55:35
gpt-4-turbo, AVERAGE, 0.96, 0.96, 0.96, 0.96, 08/02/24-15:55:35
gpt-3.5-turbo-0125, hate, 0.76, 0.06, 0.80, 0.12, 08/02/24-15:58:56
gpt-3.5-turbo-0125, not hate, 0.76, 0.99, 0.76, 0.86, 08/02/24-15:58:56
gpt-3.5-turbo-0125, AVERAGE, 0.76, 0.76, 0.76, 0.76, 08/02/24-15:58:56
open-mistral-nemo-2407, hate, 0.77, 0.07, 0.80, 0.12, 08/02/24-16:07:21
open-mistral-nemo-2407, not hate, 0.77, 0.99, 0.77, 0.87, 08/02/24-16:07:21
open-mistral-nemo-2407, AVERAGE, 0.77, 0.77, 0.77, 0.77, 08/02/24-16:07:21
mistral-large-latest, hate, 0.74, 0.06, 0.80, 0.11, 08/02/24-16:15:48
mistral-large-latest, not hate, 0.74, 0.99, 0.73, 0.85, 08/02/24-16:15:48
mistral-large-latest, AVERAGE, 0.74, 0.74, 0.74, 0.74, 08/02/24-16:15:48
claude-3-5-sonnet-20240620, hate, 0.94, 0.21, 0.70, 0.33, 08/02/24-16:37:35
claude-3-5-sonnet-20240620, not hate, 0.94, 0.99, 0.94, 0.97, 08/02/24-16:37:35
claude-3-5-sonnet-20240620, AVERAGE, 0.94, 0.94, 0.94, 0.94, 08/02/24-16:37:35
claude-3-haiku-20240307, hate, 0.88, 0.12, 0.80, 0.21, 08/02/24-16:53:32
claude-3-haiku-20240307, not hate, 0.88, 1.00, 0.88, 0.93, 08/02/24-16:53:32
claude-3-haiku-20240307, AVERAGE, 0.88, 0.88, 0.88, 0.88, 08/02/24-16:53:32
