Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 07/28/24-18:38:05
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 07/28/24-18:38:05
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 07/28/24-18:38:05
gpt-4o, hate, 0.95, 0.23, 0.60, 0.33, 07/28/24-18:41:05
gpt-4o, not hate, 0.95, 0.99, 0.96, 0.97, 07/28/24-18:41:05
gpt-4o, AVERAGE, 0.95, 0.95, 0.95, 0.95, 07/28/24-18:41:05
gpt-4-turbo, hate, 0.94, 0.19, 0.60, 0.29, 07/28/24-18:44:57
gpt-4-turbo, not hate, 0.94, 0.99, 0.95, 0.97, 07/28/24-18:44:57
gpt-4-turbo, AVERAGE, 0.94, 0.94, 0.94, 0.94, 07/28/24-18:44:57
gpt-3.5-turbo-0125, hate, 0.76, 0.09, 0.80, 0.16, 07/28/24-18:47:58
gpt-3.5-turbo-0125, not hate, 0.76, 0.99, 0.76, 0.86, 07/28/24-18:47:58
gpt-3.5-turbo-0125, AVERAGE, 0.76, 0.81, 0.76, 0.78, 07/28/24-18:47:58
open-mistral-nemo-2407, hate, 0.56, 0.04, 0.90, 0.08, 07/28/24-18:56:19
open-mistral-nemo-2407, not hate, 0.56, 1.00, 0.55, 0.71, 07/28/24-18:56:19
open-mistral-nemo-2407, AVERAGE, 0.56, 0.56, 0.56, 0.56, 07/28/24-18:56:19
mistral-large-latest, hate, 0.85, 0.10, 0.80, 0.18, 07/28/24-19:04:29
mistral-large-latest, not hate, 0.85, 1.00, 0.86, 0.92, 07/28/24-19:04:29
mistral-large-latest, AVERAGE, 0.85, 0.85, 0.85, 0.85, 07/28/24-19:04:29
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 08/02/24-14:38:44
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 08/02/24-14:38:44
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 08/02/24-14:38:44
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 08/02/24-14:41:14
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 08/02/24-14:41:14
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 08/02/24-14:41:14
gpt-4o, hate, 0.95, 0.24, 0.60, 0.34, 08/02/24-14:45:55
gpt-4o, not hate, 0.95, 0.99, 0.96, 0.98, 08/02/24-14:45:55
gpt-4o, AVERAGE, 0.95, 0.95, 0.95, 0.95, 08/02/24-14:45:55
gpt-4-turbo, hate, 0.96, 0.26, 0.60, 0.36, 08/02/24-14:51:38
gpt-4-turbo, not hate, 0.96, 0.99, 0.96, 0.98, 08/02/24-14:51:38
gpt-4-turbo, AVERAGE, 0.96, 0.96, 0.96, 0.96, 08/02/24-14:51:38
gpt-3.5-turbo-0125, hate, 0.76, 0.07, 0.70, 0.13, 08/02/24-14:55:32
gpt-3.5-turbo-0125, not hate, 0.76, 0.99, 0.76, 0.86, 08/02/24-14:55:32
gpt-3.5-turbo-0125, AVERAGE, 0.76, 0.81, 0.76, 0.78, 08/02/24-14:55:32
open-mistral-nemo-2407, hate, 0.55, 0.04, 0.90, 0.07, 08/02/24-15:03:17
open-mistral-nemo-2407, not hate, 0.55, 1.00, 0.54, 0.70, 08/02/24-15:03:17
open-mistral-nemo-2407, AVERAGE, 0.55, 0.55, 0.55, 0.55, 08/02/24-15:03:17
mistral-large-latest, hate, 0.85, 0.11, 0.90, 0.19, 08/02/24-15:11:35
mistral-large-latest, not hate, 0.85, 1.00, 0.85, 0.92, 08/02/24-15:11:35
mistral-large-latest, AVERAGE, 0.85, 0.85, 0.85, 0.85, 08/02/24-15:11:35
claude-3-5-sonnet-20240620, hate, 0.96, 0.27, 0.60, 0.38, 08/02/24-15:30:53
claude-3-5-sonnet-20240620, not hate, 0.96, 0.99, 0.97, 0.98, 08/02/24-15:30:53
claude-3-5-sonnet-20240620, AVERAGE, 0.96, 0.96, 0.96, 0.96, 08/02/24-15:30:53
claude-3-haiku-20240307, hate, 0.68, 0.06, 0.90, 0.11, 08/02/24-15:46:08
claude-3-haiku-20240307, not hate, 0.68, 1.00, 0.67, 0.80, 08/02/24-15:46:08
claude-3-haiku-20240307, AVERAGE, 0.68, 0.69, 0.68, 0.68, 08/02/24-15:46:08
