Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.63, 0.69, 0.80, 0.74, 08/02/24-17:42:11
senticnet, negative, 0.63, 0.42, 0.29, 0.35, 08/02/24-17:42:11
senticnet, AVERAGE, 0.63, 0.63, 0.63, 0.63, 08/02/24-17:42:11
gpt-4o, positive, 0.80, 0.84, 0.87, 0.85, 08/02/24-17:45:38
gpt-4o, negative, 0.80, 0.72, 0.68, 0.70, 08/02/24-17:45:38
gpt-4o, AVERAGE, 0.80, 0.80, 0.80, 0.80, 08/02/24-17:45:38
gpt-4-turbo, positive, 0.81, 0.81, 0.93, 0.87, 08/02/24-17:50:48
gpt-4-turbo, negative, 0.81, 0.81, 0.57, 0.67, 08/02/24-17:50:48
gpt-4-turbo, AVERAGE, 0.81, 0.81, 0.81, 0.81, 08/02/24-17:50:48
gpt-3.5-turbo-0125, positive, 0.75, 0.75, 0.93, 0.83, 08/02/24-17:53:50
gpt-3.5-turbo-0125, negative, 0.75, 0.73, 0.38, 0.50, 08/02/24-17:53:50
gpt-3.5-turbo-0125, AVERAGE, 0.75, 0.75, 0.75, 0.75, 08/02/24-17:53:50
open-mistral-nemo-2407, positive, 0.71, 0.84, 0.73, 0.78, 08/02/24-18:01:49
open-mistral-nemo-2407, negative, 0.71, 0.60, 0.66, 0.63, 08/02/24-18:01:49
open-mistral-nemo-2407, AVERAGE, 0.71, 0.75, 0.71, 0.73, 08/02/24-18:01:49
mistral-large-latest, positive, 0.69, 0.90, 0.60, 0.72, 08/02/24-18:10:05
mistral-large-latest, negative, 0.69, 0.53, 0.87, 0.66, 08/02/24-18:10:05
mistral-large-latest, AVERAGE, 0.69, 0.69, 0.69, 0.69, 08/02/24-18:10:05
claude-3-5-sonnet-20240620, positive, 0.82, 0.83, 0.92, 0.87, 08/06/24-15:35:30
claude-3-5-sonnet-20240620, negative, 0.82, 0.80, 0.62, 0.70, 08/06/24-15:35:30
claude-3-5-sonnet-20240620, AVERAGE, 0.82, 0.82, 0.82, 0.82, 08/06/24-15:35:30
claude-3-haiku-20240307, positive, 0.79, 0.85, 0.83, 0.84, 08/06/24-15:49:41
claude-3-haiku-20240307, negative, 0.79, 0.68, 0.70, 0.69, 08/06/24-15:49:41
claude-3-haiku-20240307, AVERAGE, 0.79, 0.79, 0.79, 0.79, 08/06/24-15:49:41
