utterance,label
Ég hef aldrei upplifað svona óánægjulega reynslu.,"[('veitingastaður almennt', 'NULL', 'óánægjulega', 'negative')]"
"Þegar reikningurinn kom var ekkert greitt, svo ég sagði við framkvæmdastjóra mjög kurteislega að við værum tilbúin að borga fyrir vínið, en mér fannst ekki að ég ætti að borga fyrir mat með lirfu í honum.","[('þjónusta almennt', 'NULL', 'lirfu', 'negative')]"
"Svo mikil ókurteisi, það var alveg rosalegt.","[('þjónusta almennt', 'NULL', 'ókurteisi', 'negative')]"
"Ananas, sem var klæddur glassúr af einhverju tagi og einhvers konar perutertu. var ekki hrifinn.","[('matur úrval', 'NULL', 'glassúr af einhverju tagi', 'negative'), ('matur gæði', 'NULL', 'ekki hrifinn', 'negative')]"
nakgi-bokum var hræðilegt.,"[('matur gæði', 'nakgi-bokum', 'hræðilegt', 'negative')]"
"Þú myndir halda að þeir myndu bæta það með þjónustu, því miður, nei.","[('þjónusta almennt', 'þjónustu', 'því miður', 'negative')]"
Okkar upplifun skánaði síðan aldrei.,"[('veitingastaður almennt', 'NULL', 'skánaði aldrei', 'negative')]"
"Það lítur ekki út fyrir að vera gott á bragðið þar sem það er þakið í smokkfisksbleki og það litar varir þínar og tennur svartar, en bragðið var ótrúlegt.","[('matur úrval', 'NULL', 'Það lítur ekki út fyrir að vera gott á bragðið', 'negative'), ('matur gæði', 'NULL', 'ótrúlegt', 'positive')]"
"Pastað var vel eldað, en það var ekki nóg af sósu eða bragði.","[('matur gæði', 'pastað', 'vel eldað', 'positive'), ('matur gæði', 'pastað', 'ekki nóg af sósu.', 'negative')]"
Sparaðu peningana þína og tímann og farðu einhvers staðar annars staðar.,"[('veitingastaður almennt', 'NULL', 'farðu einhvers staðar annars staðar', 'negative')]"
"Humarklærnar (sérréttur dagsins) voru í lagi, en ansi bragðlausar.","[('matur úrval', 'Humarklærnar', 'í lagi', 'neutral'), ('matur gæði', 'Humarklærnar', 'bragðlausar', 'negative')]"
"Ég mæli eindregið með fiskitacos, allt annað var í lagi.","[('matur gæði', 'fiskitacos', 'mæli eindregið með', 'positive'), ('matur gæði', 'NULL', ' í lagi', 'neutral')]"
Ég prófaði nokkra aðra rétti en var ekki mjög hrifinn.,"[('matur gæði', 'rétti', 'var ekki mjög hrifinn.', 'neutral')]"
"Maturinn er mjög góður, en ekki framúrskarandi.","[('matur gæði', 'maturinn', 'ekki framúrskarandi', 'neutral')]"
Ein af bestu pizzunum í New York.,"[('matur gæði', 'pizzunum', 'bestu', 'neutral')]"
þeir taka ekki kreditkort svo komdu með peninga!,"[('veitingastaður mismunandi', 'NULL', 'komdu með peninga', 'neutral')]"
Við komum seint fyrir bókunina okkar svo ég get ekki kvartað of mikið yfir biðinni eftir borði.,"[('þjónusta almennt', 'biðinni', 'get ekki kvartað of mikið.', 'neutral')]"
"Þrátt fyrir að það hafi verið fullt af fólki oftast þegar ég hef komið hingað, skilar Bark alltaf af sér frábærum mat.","[('matur gæði', 'mat', 'frábærum', 'positive'), ('veitingastaður mismunandi', 'Bark', 'fullt af fólki', 'neutral')]"
Þjónustan er góð og meðaltalið á hvern rétt er á 10 dollara.,"[('þjónusta almennt', 'þjónustan', 'góð', 'positive'), ('matur verð', 'rétt', '10 dollara', 'neutral')]"
"Þrátt fyrir að það hafi verið fullt af fólki oftast þegar ég hef komið hingað, skilar Bark alltaf af sér frábærum mat.","[('matur gæði', 'mat', 'frábærum', 'positive'), ('veitingastaður mismunandi', 'Bark', 'fullt af fólki', 'neutral')]"
Maðurinn minn og ég erum búnir að vera aðdáendur frá fyrstu heimsókninni.,"[('veitingastaður almennt', 'NULL', 'aðdáendur', 'positive')]"
Frábær álegg. Þetta er klárlega staður sem þú þarft að kíkja á fyrir kvöldmat eða hádegismat!,"[('matur gæði', 'álegg', 'frábær.', 'positive'), ('veitingastaður mismunandi', 'staður', 'frábær', 'positive')]"
Ég er að hugsa um það að það er allt það jákvæða sem er að gerast þar sem veldur því að ég skrifa þessa umsögn.,"[('veitingastaður almennt', 'NULL', 'jákvæða', 'positive')]"
Staðurinn er fallegur!,"[('andrúmsloft almennt', 'staðurinn', 'fallegur', 'positive')]"
"Ég fer yfirleitt ekki á sama veitingastað oftar en einu sinni, hvað þá tvisvar, en ég kem alltaf til Zenkichi fyrir rólegt, notalegt og eftirminnilegt kvöldmat.","[('veitingastaður almennt', 'Zenkichi', 'kem alltaf til Zenkichi', 'positive'), ('andrúmsloft almennt', 'Zenkichi', 'rólegt', 'positive'), ('andrúmsloft almennt', 'Zenkichi', 'notalegt', 'positive'), ('andrúmsloft almennt', 'Zenkichi', 'eftirminnilegt', 'positive')]"
Þjónustan var mjög fljótleg og sinnti manni vel (þökk sé takkanum á borðinu) en ég skildi varla eitt orð þegar þjónninn tók pöntun okkar.,"[('þjónusta almennt', 'þjónustan', 'fljótleg', 'positive'), ('þjónusta almennt', 'þjónustan', 'sinnti manni vel', 'positive'), ('þjónusta almennt', 'takkanum', 'þökk sé', 'positive'), ('þjónusta almennt', 'þjónninn', 'skildi varla eitt orð', 'negative')]"
Á endanum endarðu með sanngjarna reikning og ekkert nema frábæra tíma!!!,"[('veitingastaður verð', 'NULL', 'sanngjarnt', 'positive'), ('veitingastaður almennt', 'NULL', 'Frábært', 'positive')]"
Uppáhalds staðurinn minn lol,"[('veitingastaður almennt', 'staðurinn', 'uppáhalds', 'positive')]"
"Ég rakst á Village Underground af handahófi, nú fer ég oft þangað.","[('veitingastaður almennt', 'Village Underground', 'fer oft þangað', 'positive')]"
"Frábært, frumlegt bragð.","[('matur gæði', 'NULL', 'frábært', 'positive'), ('matur gæði', 'NULL', 'frumlegt', 'positive')]"
