Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-21:24:09
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-21:24:09
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-21:24:09
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-21:24:09
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-22:45:41
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-22:45:41
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-22:45:41
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-22:45:41
gpt-4o, irony, 0.56, 0.12, 0.96, 0.22, 08/02/24-22:49:02
gpt-4o, not irony, 0.56, 0.98, 0.57, 0.72, 08/02/24-22:49:02
gpt-4o, unclear, 0.56, 0.16, 0.21, 0.18, 08/02/24-22:49:02
gpt-4o, AVERAGE, 0.56, 0.56, 0.56, 0.56, 08/02/24-22:49:02
gpt-4-turbo, irony, 0.48, 0.11, 0.96, 0.20, 08/02/24-22:54:30
gpt-4-turbo, not irony, 0.48, 0.96, 0.47, 0.63, 08/02/24-22:54:30
gpt-4-turbo, unclear, 0.48, 0.14, 0.26, 0.18, 08/02/24-22:54:30
gpt-4-turbo, AVERAGE, 0.48, 0.48, 0.48, 0.48, 08/02/24-22:54:30
gpt-3.5-turbo-0125, irony, 0.13, 0.06, 0.88, 0.11, 08/03/24-16:04:19
gpt-3.5-turbo-0125, not irony, 0.13, 0.89, 0.07, 0.13, 08/03/24-16:04:19
gpt-3.5-turbo-0125, unclear, 0.13, 0.12, 0.26, 0.16, 08/03/24-16:04:19
gpt-3.5-turbo-0125, AVERAGE, 0.13, 0.13, 0.13, 0.13, 08/03/24-16:04:19
open-mistral-nemo-2407, irony, 0.13, 0.05, 0.96, 0.10, 08/03/24-16:12:32
open-mistral-nemo-2407, not irony, 0.13, 0.90, 0.08, 0.15, 08/03/24-16:12:32
open-mistral-nemo-2407, unclear, 0.13, 0.40, 0.10, 0.16, 08/03/24-16:12:32
open-mistral-nemo-2407, AVERAGE, 0.13, 0.13, 0.13, 0.13, 08/03/24-16:12:32
mistral-large-latest, irony, 0.20, 0.06, 0.92, 0.11, 08/03/24-16:20:54
mistral-large-latest, not irony, 0.20, 0.95, 0.17, 0.28, 08/03/24-16:20:54
mistral-large-latest, unclear, 0.20, 0.21, 0.15, 0.18, 08/03/24-16:20:54
mistral-large-latest, AVERAGE, 0.20, 0.20, 0.20, 0.20, 08/03/24-16:20:54
