Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, against, 0.54, 0.76, 0.52, 0.62, 07/29/24-11:15:29
gpt-4o, favor, 0.54, 0.63, 0.34, 0.45, 07/29/24-11:15:29
gpt-4o, none, 0.54, 0.34, 0.84, 0.48, 07/29/24-11:15:29
gpt-4o, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/29/24-11:15:29
gpt-4-turbo, against, 0.61, 0.72, 0.66, 0.69, 07/29/24-11:20:38
gpt-4-turbo, favor, 0.61, 0.67, 0.38, 0.48, 07/29/24-11:20:38
gpt-4-turbo, none, 0.61, 0.42, 0.76, 0.54, 07/29/24-11:20:38
gpt-4-turbo, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/29/24-11:20:38
gpt-3.5-turbo-0125, against, 0.41, 0.65, 0.34, 0.45, 07/29/24-11:23:28
gpt-3.5-turbo-0125, favor, 0.41, 0.28, 0.40, 0.33, 07/29/24-11:23:28
gpt-3.5-turbo-0125, none, 0.41, 0.36, 0.65, 0.46, 07/29/24-11:23:28
gpt-3.5-turbo-0125, AVERAGE, 0.41, 0.41, 0.41, 0.41, 07/29/24-11:23:28
open-mistral-nemo-2407, against, 0.38, 0.70, 0.30, 0.42, 07/29/24-11:31:06
open-mistral-nemo-2407, favor, 0.38, 0.25, 0.34, 0.28, 07/29/24-11:31:06
open-mistral-nemo-2407, none, 0.38, 0.29, 0.64, 0.40, 07/29/24-11:31:06
open-mistral-nemo-2407, AVERAGE, 0.38, 0.38, 0.38, 0.38, 07/29/24-11:31:06
mistral-large-latest, against, 0.33, 0.78, 0.22, 0.35, 07/29/24-11:39:21
mistral-large-latest, favor, 0.33, 0.39, 0.13, 0.19, 07/29/24-11:39:21
mistral-large-latest, none, 0.33, 0.23, 0.91, 0.37, 07/29/24-11:39:21
mistral-large-latest, AVERAGE, 0.33, 0.33, 0.33, 0.33, 07/29/24-11:39:21
claude-3-5-sonnet-20240620, against, 0.45, 0.83, 0.32, 0.46, 07/29/24-12:23:54
claude-3-5-sonnet-20240620, favor, 0.45, 0.52, 0.36, 0.43, 07/29/24-12:23:54
claude-3-5-sonnet-20240620, none, 0.45, 0.30, 0.96, 0.46, 07/29/24-12:23:54
claude-3-5-sonnet-20240620, AVERAGE, 0.45, 0.45, 0.45, 0.45, 07/29/24-12:23:54
claude-3-haiku-20240307, against, 0.51, 0.68, 0.58, 0.63, 07/29/24-12:33:26
claude-3-haiku-20240307, favor, 0.51, 0.31, 0.42, 0.36, 07/29/24-12:33:26
claude-3-haiku-20240307, none, 0.51, 0.43, 0.39, 0.40, 07/29/24-12:33:26
claude-3-haiku-20240307, AVERAGE, 0.51, 0.51, 0.51, 0.51, 07/29/24-12:33:26
