Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/30/24-15:23:12
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/30/24-15:23:12
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/30/24-15:23:12
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/30/24-15:34:54
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/30/24-15:34:54
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/30/24-15:34:54
gpt-4o, positive, 0.91, 0.95, 0.85, 0.90, 07/30/24-15:39:19
gpt-4o, negative, 0.91, 0.87, 0.96, 0.91, 07/30/24-15:39:19
gpt-4o, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-15:39:19
gpt-4-turbo, positive, 0.93, 0.95, 0.91, 0.93, 07/30/24-15:46:50
gpt-4-turbo, negative, 0.93, 0.91, 0.96, 0.94, 07/30/24-15:46:50
gpt-4-turbo, AVERAGE, 0.93, 0.93, 0.93, 0.93, 07/30/24-15:46:50
gpt-3.5-turbo-0125, positive, 0.92, 0.91, 0.92, 0.92, 07/30/24-15:50:36
gpt-3.5-turbo-0125, negative, 0.92, 0.93, 0.92, 0.92, 07/30/24-15:50:36
gpt-3.5-turbo-0125, AVERAGE, 0.92, 0.92, 0.92, 0.92, 07/30/24-15:50:36
open-mistral-nemo-2407, positive, 0.90, 0.88, 0.92, 0.90, 07/30/24-15:59:08
open-mistral-nemo-2407, negative, 0.90, 0.93, 0.88, 0.90, 07/30/24-15:59:08
open-mistral-nemo-2407, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/30/24-15:59:08
mistral-large-latest, positive, 0.90, 0.94, 0.86, 0.90, 07/30/24-16:08:10
mistral-large-latest, negative, 0.90, 0.88, 0.95, 0.91, 07/30/24-16:08:10
mistral-large-latest, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/30/24-16:08:10
